Name,Date,Days since incident,Form of Incident,Key Motivation,Fatalities,Injured,Details/Description,Extra-Parliamentary Groups and Networks,PB Role,City,State/Province/Region,Country,Source,Source 2,Source 3,Date added,Note,Contested,Attachments,Location,Notes,Party,Party Name (from Party)
"Placerville, California, USA",12/5/20,167,"Disruption,Intimidation,Instigation",Pro Trump,0,0,"Proud Boys flash ok symbol in racist hoodies, ignore the toy drive's COVID guidelines by congregating in close proximity on foot.  Placerville's mayor states the group's presence makes it uncomfortable for tourists and businesses,  condemns the group's presence and ganglike behavior. Local police condemn the Proud Boys for using the Toys for Tots event to push a political agenda. 
",Proud Boys,,Placerville,California,USA,https://www.sacbee.com/news/local/article247694565.html,https://www.facebook.com/PlacervillePolice/posts/1557795314419610,,18/5/2021 8:44am,"Hangtown was Placerville's original name. Racial symbols i.e. the noose, were seen on Proud Boys attire.",,,"Placerville, California, USA",🔵 eyJpIjoiQ2FsaWZvcm5pYSIsIm8iOnsic3RhdHVzIjoiT0siLCJmb3JtYXR0ZWRBZGRyZXNzIjoiQ2FsaWZvcm5pYSwgVVNBIiwibGF0IjozNi43NzgyNjEsImxuZyI6LTExOS40MTc5MzI0LCJibG9ja0luc3RhbGxhdGlvbklkcyI6WyJibGlzalUzT2ZnNHpBYU93bCJdLCJsb2NhdGlvbkZpZWxkSWQiOiJmbGRrYzNDM0NBYzhiVmp1USJ9LCJlIjoxNjIzOTEyMjQ4ODgyfQ==,,
"Atlanta, Georgia, USA",11/18/20,184,"Intimidation,Propaganda","neofascism,neo-nazism,Anti Left",0,0,"Alex Jones, Known Disinformation and Conspiracy Theory Influencer, Leads 'Stop the Steal' Rally at Georgia's Capitol to Protest Election Results. Proud Boys Chairman Enrique Tarrio in attendance.","Proud Boys,Infowars Crew",,Atlanta,Georgia,USA,https://www.newsweek.com/alex-jones-leads-stop-steal-rally-georgias-capitol-protest-election-results-1548533,https://www.dailymail.co.uk/video/news/video-2295842/Video-Alex-Jones-attends-Stop-Steal-rally-Georgia.html,,18/5/2021 8:35am,,,,"Atlanta, Georgia, USA",🔵 eyJpIjoiR2VvcmdpYSIsIm8iOnsic3RhdHVzIjoiT0siLCJmb3JtYXR0ZWRBZGRyZXNzIjoiR2VvcmdpYSwgVVNBIiwibGF0IjozMi4xNjU2MjIxLCJsbmciOi04Mi45MDAwNzUxLCJibG9ja0luc3RhbGxhdGlvbklkcyI6WyJibGlzalUzT2ZnNHpBYU93bCJdLCJsb2NhdGlvbkZpZWxkSWQiOiJmbGRrYzNDM0NBYzhiVmp1USJ9LCJlIjoxNjIzOTExNzM1ODUwfQ==,,
"Washington, District of Columbia, USA",11/14/20,188,"Intimidation,Election Interference,March","Anti Anti-Fascist,neofascism",0,0,"The Million MAGA March was planned to support Mr. Trump's false claims that the election was rigged. Multiple pro Trump, ""anti-antifascist"" organizers including the extremist groups Proud Boys and Patriot Prayer co-attended. Eyewitness accounts estimate 100,000 rallygoers and counter protestors attended. 20 people were arrested following collutations between pro and anti-Trump groups.","Proud Boys,Women For America First,Oathkeepers,Three Percenters,Groypers,Flat Earthers,Qanon",,Washington,District of Columbia,USA,https://www.cnn.com/2020/11/14/us/trump-washington-voters-rally-far-right/index.html,https://www.reuters.com/article/uk-factcheck-million-maga-march-estimate-idUSKBN27Z2KI,,18/5/2021 8:36am,,,,"Washington, District of Columbia, USA",🔵 eyJpIjoiRGlzdHJpY3Qgb2YgQ29sdW1iaWEiLCJvIjp7InN0YXR1cyI6Ik9LIiwiZm9ybWF0dGVkQWRkcmVzcyI6Ildhc2hpbmd0b24sIERDLCBVU0EiLCJsYXQiOjM4LjkwNzE5MjMsImxuZyI6LTc3LjAzNjg3MDcsImJsb2NrSW5zdGFsbGF0aW9uSWRzIjpbImJsaXNqVTNPZmc0ekFhT3dsIl0sImxvY2F0aW9uRmllbGRJZCI6ImZsZGtjM0MzQ0FjOGJWanVRIn0sImUiOjE2MjM5MTE3NjQ2NDF9,,
"Dickinson, North Dakota, USA",10/28/20,205,"Intimidation,Threats of violence","Pro Trump,Anti Anti-Fascist",0,0,"An email sent to The Dickinson Press stated, ""I will blow up the voting location in Stark Co.,"" and it was signed by ""The Proud Boys.""",Proud Boys,,Dickinson,North Dakota,USA,https://www.grandforksherald.com/news/crime-and-courts/6739905-North-Dakota-man-arrested-for-threatening-to-blow-up-voting-location,https://www.newsweek.com/self-professed-proud-boy-arrested-after-allegedly-threatening-blow-north-dakota-voting-location-1543696,,18/5/2021 8:36am,,,,"Dickinson, North Dakota, USA",🔵 eyJpIjoiTm9ydGggRGFrb3RhIiwibyI6eyJzdGF0dXMiOiJPSyIsImZvcm1hdHRlZEFkZHJlc3MiOiJOb3J0aCBEYWtvdGEsIFVTQSIsImxhdCI6NDcuNTUxNDkyNiwibG5nIjotMTAxLjAwMjAxMTksImJsb2NrSW5zdGFsbGF0aW9uSWRzIjpbImJsaXNqVTNPZmc0ekFhT3dsIl0sImxvY2F0aW9uRmllbGRJZCI6ImZsZGtjM0MzQ0FjOGJWanVRIn0sImUiOjE2MjM5MTE3NzAwOTd9,,
"Portland, Oregon, USA",9/7/20,256,"Intimidation,Assault","Pro Trump,Anti-BLM",0,3,"Trump supporters caravan south of Portland for ""Trump Cruise Rally"", head to Salem, attack counter protestors. ","Proud Boys,Qanon,Blue Lives Matter,Patriot Prayer",,Portland,Oregon,USA,https://theweek.com/speedreads/936208/trump-supporters-caravan-south-portland-head-salem-attack-counterprotesters,https://twitter.com/MrOlmos/status/1303107492096794625?ref_src=twsrc%5Etfw%7Ctwcamp%5Etweetembed%7Ctwterm%5E1303110704350728193%7Ctwgr%5Eshare_3&ref_url=https%3A%2F%2Ftheweek.com%2Fspeedreads%2F936208%2Ftrump-supporters-caravan-south-portland-head-salem-attack-counterprotesters,,19/5/2021 1:11pm,,,,"Portland, Oregon, USA",🔵 eyJpIjoiT3JlZ29uIiwibyI6eyJzdGF0dXMiOiJPSyIsImZvcm1hdHRlZEFkZHJlc3MiOiJPcmVnb24sIFVTQSIsImxhdCI6NDMuODA0MTMzNCwibG5nIjotMTIwLjU1NDIwMTIsImJsb2NrSW5zdGFsbGF0aW9uSWRzIjpbImJsaXNqVTNPZmc0ekFhT3dsIl0sImxvY2F0aW9uRmllbGRJZCI6ImZsZGtjM0MzQ0FjOGJWanVRIn0sImUiOjE2MjQwMTQ2NzI3NzN9,,
"Portland, Oregon, USA",8/22/20,272,Assault,Anti Left,,,Proud Boy local leader Alan Swinney brandishes weapon during clash.,Proud Boys,,Portland,Oregon,USA,https://www.huffpost.com/entry/portland-police-far-right-proud-boys_n_5f4417f6c5b6c00d03b29826?zp,,https://twitter.com/AndyBCampbell/status/1298244507276840960?s=20,19/5/2021 1:10pm,I'm not sure this one fits our definition of a hate crime ,,,"Portland, Oregon, USA",🔵 eyJpIjoiT3JlZ29uIiwibyI6eyJzdGF0dXMiOiJPSyIsImZvcm1hdHRlZEFkZHJlc3MiOiJPcmVnb24sIFVTQSIsImxhdCI6NDMuODA0MTMzNCwibG5nIjotMTIwLjU1NDIwMTIsImJsb2NrSW5zdGFsbGF0aW9uSWRzIjpbImJsaXNqVTNPZmc0ekFhT3dsIl0sImxvY2F0aW9uRmllbGRJZCI6ImZsZGtjM0MzQ0FjOGJWanVRIn0sImUiOjE2MjQwMTQ2NDE0MjN9,,
"Philadelphia, Pennsylvania, USA",7/9/20,316,Recruitment,,0,0,Proud Boys co-attend Back The Blue Pence after party at fraternal order of police headquarters in Philadelphia. ,Proud Boys,,Philadelphia,Pennsylvania,USA,https://www.thedailybeast.com/how-the-proud-boys-became-roger-stones-personal-army-6,,,18/5/2021 8:35am,,,,"Philadelphia, Pennsylvania, USA",🔵 eyJpIjoiUGVubnN5bHZhbmlhIiwibyI6eyJzdGF0dXMiOiJPSyIsImZvcm1hdHRlZEFkZHJlc3MiOiJQZW5uc3lsdmFuaWEsIFVTQSIsImxhdCI6NDEuMjAzMzIxNiwibG5nIjotNzcuMTk0NTI0NywiYmxvY2tJbnN0YWxsYXRpb25JZHMiOlsiYmxpc2pVM09mZzR6QWFPd2wiXSwibG9jYXRpb25GaWVsZElkIjoiZmxka2MzQzNDQWM4YlZqdVEifSwiZSI6MTYyMzkxMTc1MDc0M30=,,
"Washington, DC, USA",7/4/20,321,,Pro Trump,,,Donald Trump 4th of July Speech,Proud Boys,Coattended,Washington,DC,USA,https://twitter.com/realDonaldTrump/status/1279510068606701568?s=20 https://twitter.com/ShawnMcCreesh/status/1279554292580564993?s=20,,,18/5/2021 8:36am,SOURCES,checked,,"Washington, DC, USA",🔵 eyJpIjoiREMiLCJvIjp7InN0YXR1cyI6Ik9LIiwiZm9ybWF0dGVkQWRkcmVzcyI6IjkwNiBTaWdnaW5zIFN0LCBDb2ZmZXl2aWxsZSwgS1MgNjczMzcsIFVTQSIsImxhdCI6MzcuMDM0NDU5NCwibG5nIjotOTUuNjU0MDEwMzk5OTk5OTksImJsb2NrSW5zdGFsbGF0aW9uSWRzIjpbImJsaXNqVTNPZmc0ekFhT3dsIl0sImxvY2F0aW9uRmllbGRJZCI6ImZsZGtjM0MzQ0FjOGJWanVRIn0sImUiOjE2MjM5MTE3OTMzMzJ9,,
"Prescott, Arizona, USA",7/4/20,321,,,,,4th of July Gathering,"Proud Boys,Oathkeepers",Coattended,Prescott,Arizona,USA,https://twitter.com/nickmartin/status/1279517945220100096?s=20,,,18/5/2021 8:38am,SOURCES,checked,,"Prescott, Arizona, USA",🔵 eyJpIjoiQXJpem9uYSIsIm8iOnsic3RhdHVzIjoiT0siLCJmb3JtYXR0ZWRBZGRyZXNzIjoiQXJpem9uYSwgVVNBIiwibGF0IjozNC4wNDg5MjgxLCJsbmciOi0xMTEuMDkzNzMxMSwiYmxvY2tJbnN0YWxsYXRpb25JZHMiOlsiYmxpc2pVM09mZzR6QWFPd2wiXSwibG9jYXRpb25GaWVsZElkIjoiZmxka2MzQzNDQWM4YlZqdVEifSwiZSI6MTYyMzkxMTkzNTQ0MX0=,,
"Salem, Oregon, USA",7/4/20,321,Intimidation,Anti-BLM,,,BLM Protest,"Proud Boys,Qanon",Targeted,Salem,Oregon,USA,https://twitter.com/hungrybowtie/status/1279506620519604224?s=20,,,18/5/2021 8:38am,SOURCES,checked,,"Salem, Oregon, USA",🔵 eyJpIjoiT3JlZ29uIiwibyI6eyJzdGF0dXMiOiJPSyIsImZvcm1hdHRlZEFkZHJlc3MiOiJPcmVnb24sIFVTQSIsImxhdCI6NDMuODA0MTMzNCwibG5nIjotMTIwLjU1NDIwMTIsImJsb2NrSW5zdGFsbGF0aW9uSWRzIjpbImJsaXNqVTNPZmc0ekFhT3dsIl0sImxvY2F0aW9uRmllbGRJZCI6ImZsZGtjM0MzQ0FjOGJWanVRIn0sImUiOjE2MjM5MTE5MTg5MzN9,,
